Database Source	Sequence ID	Plasmid name	Strain of origin	Sequence length
NCBI	NZ_CP007612.1	pBMB11	Bacillus thuringiensis serovar kurstaki str. YBT-1520	12176
NCBI	NC_012972.1	pMsip02	Methylovorus glucosetrophus SIP3-4	9958
NCBI	NC_015148.1	pLS20	Bacillus subtilis subsp. natto	66715
NCBI	NZ_CP011334.1	Unknown	Escherichia coli O104:H4 str. C227-11	2998
NCBI	NZ_CP019013.1	pECAZ162_2	Escherichia coli strain Ecol_AZ162	110616
NCBI	NZ_CP010199.1	C	Escherichia coli strain M9	6127
NCBI	NZ_CP021537.1	unitig_3	Escherichia coli strain AR_0119	98868
NCBI	NZ_CP016800.1	pl12112-3	Lactobacillus brevis strain TMW 1.2112	33687
NCBI	NZ_CP011951.1	pHG4	Haloferax gibbonsii strain ARA6	35973
NCBI	NZ_CP018314.1	pKp_Goe_579-6	Klebsiella pneumoniae strain Kp_Goe_822579	69583
NCBI	NC_004940.1	pEA1.7	Erwinia amylovora IH3-1	1737
NCBI	NZ_CP019220.1	pKp1756	Klebsiella pneumoniae strain 1756	75010
NCBI	NZ_AUPU01000021.1	pS123a	Staphylococcus aureus S123	15110
NCBI	NZ_CP012489.1	pAKI40B	Enterobacter sp. FY-07	3831
NCBI	NZ_CP016832.1	pFap21-2	Xanthomonas fragariae isolate Fap21	21130
NCBI	NZ_CP016899.1	pGFJ3	Acinetobacter soli strain GFJ2	10604
NCBI	NC_004938.1	pHT926	Brevibacillus borstelensis	1813
NCBI	NZ_CP012274.1	pL21532-5	Pediococcus damnosus strain TMW 2.1532	34774
NCBI	NC_012250.1	94a_cp32-5	Borrelia burgdorferi 94a	29881
NCBI	NC_009934.1	pREB9	Acaryochloris marina MBIC11017	2165
NCBI	NC_008381.1	pRL10	Rhizobium leguminosarum bv. viciae	495110
NCBI	NC_020797.1	pXAC64	Xanthomonas axonopodis Xac29-1	65035
NCBI	NZ_CP021936.1	unitig_2	Escherichia coli strain AR_0055	140318
NCBI	NC_011281.1	pKP91	Klebsiella pneumoniae 342	92399
NCBI	NZ_CP022350.1	pK516_NDM1	Klebsiella michiganensis strain K516	107658
NCBI	NC_005022.1	pDP1	Streptococcus pneumoniae D39	3208
NCBI	NZ_CP014910.1	pL1481-3	Lactobacillus lindneri strain TMW 1.481	5843
NCBI	NZ_CP012486.1	plasmid-37	Bacillus cereus strain NJ-W	7815
NCBI	NZ_CP011276.1	pPL62-3	Planctomyces sp. SH-PL62	82275
NCBI	NC_009007.1	A	Rhodobacter sphaeroides 2.4.1	115676
NCBI	NC_014825.1	pRUMAL02	Ruminococcus albus 7	357685
NCBI	NZ_CP019637.1	pHT582-1	Nostocales cyanobacterium HT-58-2	37558
NCBI	NZ_CP013553.1	pRphaN931a	Rhizobium phaseoli strain N931	345499
NCBI	NZ_LT216437.1	KPN207_p1	Klebsiella pneumoniae isolate 207M1D0-sc-2013-04-03T11:21:06Z-1606409 genome assembly,	42947
NCBI	NC_022662.1	pJJ1886_3	Escherichia coli JJ1886	5713
NCBI	NC_014826.1	pRUMAL03	Ruminococcus albus 7	16136
NCBI	NZ_CP021994.1	unnamed1	Cryobacterium sp. LW097	172145
NCBI	NC_009340.1	pMFLV02	Mycobacterium gilvum PYR-GCK	25672
NCBI	NC_019328.1	pB76-81	Pseudomonas syringae	77323
NCBI	NZ_CP015232.1	unnamed2	Ruegeria mobilis F1926	149185
NCBI	NC_001766.1	pTA1060	Bacillus subtilis	8863
NCBI	NC_019234.1	pYV-WA314	Yersinia enterocolitica (type O:8)	67801
NCBI	NZ_CP009639.1	pBFI_1	Bacillus cereus 03BB108	285986
NCBI	NC_019263.1	pLME1	Delftia acidovorans	78537
NCBI	NC_010733.1	pSFn1	Vibrio nigripulchritudo	11399
NCBI	NZ_CP018703.1	pKp_Goe_024-5	Klebsiella pneumoniae strain Kp_Goe_827024	67095
NCBI	NC_003276.1	pCC7120alpha	Nostoc sp. PCC 7120	413933
NCBI	NC_011383.1	9	Klebsiella pneumoniae	71666
NCBI	NC_017476.1	pBD-II	Lactobacillus casei BD-II	58183
NCBI	NC_014298.1	1	Halalkalicoccus jeotgali B3	412091
NCBI	NZ_CP017726.1	pSARB26_03	Salmonella enterica subsp. enterica serovar Stanleyville str. CFSAN000624 strain SARB61	59136
NCBI	NC_022610.1	pZ172_1	Staphylococcus aureus subsp. aureus Z172	27718
NCBI	NZ_CP009993.1	Unknown	Yersinia pestis strain Java9	35546
NCBI	NC_013263.1	pEp36	Erwinia pyrifoliae strain Ep1/96 complete	36423
NCBI	NZ_CP004860.1	pBMB422	Bacillus thuringiensis serovar kurstaki str. YBT-1520	428732
NCBI	NC_017802.1	clone	Borrelia crocidurae str. Achema	2352
NCBI	NZ_LT596222.1	2	Yersinia pseudotuberculosis isolate NZYP4713 genome assembly,	70814
NCBI	NC_006968.1	pNL01	Neisseria lactamica	4211
NCBI	NC_012129.1	VS116_cp26	Borreliella valaisiana VS116	27260
NCBI	NC_008274.1	cp27	Borrelia afzelii PKo	26914
NCBI	NZ_CP021836.1	tig00000583_pilon	Klebsiella pneumoniae strain AR_0120	43999
NCBI	NC_006969.2	pKNR01	Rhodococcus opacus B4	4431
NCBI	NZ_CM007783.1	unnamed	Staphylococcus warneri strain MMP1	4117
NCBI	NZ_CP018078.1	unnamed2	Sulfitobacter sp. AM1-D1	96635
NCBI	NZ_CP016566.1	pAMR588-04-00318_2	Salmonella enterica subsp. enterica serovar Heidelberg strain AMR588-04-00318	2280
NCBI	NC_012002.1	pMCCL7	Macrococcus caseolyticus JCSC5402	4121
NCBI	NZ_CP013660.2	Unknown	Planococcus kocurii strain ATCC 43650	13719
NCBI	NZ_CP009698.1	pXO2	Bacillus anthracis strain BA1035	96122
NCBI	NC_017575.1	Unknown	Ralstonia solanacearum Po82	1977019
NCBI	NC_019188.1	pLeu-Dn(USA1)	Buchnera aphidicola (Diuraphis noxia)	7884
NCBI	NZ_CM002867.1	unnamed1	Xanthomonas euvesicatoria pv. allii CFBP 6369	36224
NCBI	NZ_CP006756.1	pMT	Yersinia pestis 1522	138971
NCBI	NZ_CP019146.1	pZS-6	Acinetobacter lwoffii strain ZS207	6788
NCBI	NC_011250.1	pl40	Borrelia duttonii Ly	40931
NCBI	NZ_CP018815.1	tig00000003	Enterobacter cloacae strain AR_0002	141943
NCBI	NC_011798.1	pLF24	Lactobacillus farciminis KCTC 3681	2432
NCBI	NC_007353.2	pA1	Sphingomonas sp. A1	47224
NCBI	NC_011351.1	pEC4115	Escherichia coli O157:H7 str. EC4115	37989
NCBI	NZ_CP020749.1	unnamed6	Bacillus mycoides strain Gnyt1	65608
NCBI	NZ_CP009441.1	Unknown	Francisella philomiragia strain GA01-2794	4075
NCBI	NZ_CP013534.1	pRphaR650b	Rhizobium phaseoli strain R650	419365
NCBI	NC_000959.1	CP1	Deinococcus radiodurans R1	46358
NCBI	NZ_CP007050.1	Unknown	Rhizobium leguminosarum bv. trifolii WSM1689	263115
NCBI	NZ_CP014833.1	genomic	Borrelia hermsii strain DAH-2E7	1225
NCBI	NC_019370.1	p5580	Streptococcus dysgalactiae subsp. equisimilis	5022
NCBI	NZ_CP016454.1	pBSY17_4	Sphingobium sp. RAC03	50449
NCBI	NZ_CP013809.1	p3PS12	Piscirickettsia salmonis strain PM31429B	58250
NCBI	NZ_CP020541.1	pSHV2	Sphingobium herbicidovorans strain MH	40201
NCBI	NC_001974.1	pMA4	Synechococcus sp. (strain:MA4)	2551
NCBI	NC_025099.1	pAST4	Uncultured bacterium AST4	5104
NCBI	NZ_CP011038.1	Unknown	Pseudoalteromonas nigrifaciens strain KMM 661	74786
NCBI	NC_015459.1	Unknown	Pusillimonas sp. T7-7	41795
NCBI	NC_010066.1	pUSA300HOUMS	Staphylococcus aureus subsp. aureus USA300_TCH959	20706
NCBI	NZ_CM007848.1	pATCC27217-2	Staphylococcus aureus strain ATCC 27217	4693
NCBI	NZ_CP019308.1	pDOK1-1-1	Phaeobacter inhibens strain DOK1-1	245254
NCBI	NC_017466.1	pRCEID2.9	Lactobacillus casei strain TISTR1341	2996
NCBI	NC_021907.1	pRetMIM1b	Rhizobium etli bv. mimosae str. Mim1	256300
NCBI	NZ_CM007203.1	pACMP1	Streptomyces subrutilus strain 10-1-1	126177
NCBI	NZ_JRQB01000019.1	pUMNturkey6_10	Escherichia coli strain UMNturkey6	10266
NCBI	NC_020827.1	pKB290-6	Lactobacillus brevis KB290	11795
NCBI	NZ_CM003167.1	pDSM799	Staphylococcus aureus subsp. aureus strain DSM 799	27400
NCBI	NC_014543.1	pO26_4	Escherichia coli O26:H11 str. 11368	4133
NCBI	NZ_CP009591.1	pBC210	Bacillus cereus G9241	212246
NCBI	NZ_CP009661.1	cp32-7	Borreliella burgdorferi strain B31	31241
NCBI	NC_019440.1	pANA03	Anabaena sp. 90	20313
NCBI	NZ_CP013043.1	pJFP55H	Clostridium perfringens strain JP55	59283
NCBI	NC_010993.1	pST728/06-2	Salmonella enterica subsp. enterica serovar Typhimurium	10253
NCBI	NZ_CP016745.1	pMPJM2	Lactococcus lactis subsp. cremoris strain JM2	115447
EBI	CP000309.1	pMT	Yersinia pestis Antiqua	98079
NCBI	NZ_CP009904.1	pMT	Yersinia pestis Antiqua	97853
NCBI	NZ_CP015397.1	pCR14_5	Klebsiella pneumoniae strain CR14	9593
NCBI	NZ_CP021855.1	unitig_3	Proteus mirabilis strain AR_0156	24290
NCBI	NZ_CP016740.1	pJM3D	Lactococcus lactis subsp. cremoris strain JM3	13741
NCBI	NC_017736.1	pHCD	Helicobacter cetorum MIT 99-5656	14327
NCBI	NC_016981.1	pGL2	Lactococcus garvieae 21881	4639
NCBI	NZ_CP016580.1	pSH13-006_37	Salmonella enterica subsp. enterica serovar Heidelberg strain SH13-006	38236
NCBI	NZ_CP012956.1	pD36-4	Acinetobacter baumannii strain D36	48136
NCBI	NZ_CP008828.1	pAAC154-a50	Klebsiella pneumoniae subsp. pneumoniae KPNIH1	15313
NCBI	NC_002774.1	VRSAp	Staphylococcus aureus subsp. aureus Mu50	25467
NCBI	NC_022111.1	Unknown	Prevotella sp. oral taxon 299 str. F0039	1795712
NCBI	NZ_HG977523.1	pCS01A	Acinetobacter baumannii	64632
NCBI	NC_005914.1	pBLTVA-2	Beet leafhopper transmitted virescence phytoplasma	2625
NCBI	NZ_CP017426.1	pZXY25	Arthrobacter sp. ZXY-2	29168
NCBI	NZ_CP014877.1	pL11989-4	Lactobacillus backii strain TMW 1.1989	65857
NCBI	NZ_CP010217.1	D	Escherichia coli strain M15	6124
NCBI	NZ_CP020434.1	1	Bacillus sp. FDAARGOS_235	257744
NCBI	NC_009352.2	pAsa6	Aeromonas salmonicida subsp. salmonicida	18802
NCBI	NC_013283.1	pCTU1	Cronobacter turicensis z3032	140317
NCBI	NZ_CM001476.1	pMETAL01	Methylomicrobium album BG8	47852
NCBI	NZ_CP014895.1	pL11992-5	Lactobacillus backii strain TMW 1.1992	23520
NCBI	NZ_CP016726.1	pUC08A	Lactococcus lactis subsp. lactis strain UC08	90288
NCBI	NC_015902.1	pVF50	Lactococcus lactis subsp. lactis bv. diacetylactis	54647
NCBI	NZ_CM001802.1	pXM1	Acinetobacter calcoaceticus subsp. anitratus XM1570	47951
NCBI	NZ_CP012256.1	pCS3	Cronobacter sakazakii strain NCTC 8155	54147
NCBI	NZ_CP014703.1	Unknown	Ralstonia solanacearum strain KACC 10722	1910340
NCBI	NC_010915.1	pBP68	Paenibacillus popilliae	6767
NCBI	NZ_CP015973.1	pXAG27(12-2)	Xanthomonas citri pv. glycines str. 12-2	27000
NCBI	NZ_CP017583.1	pDSJ02	Pantoea stewartii subsp. stewartii DC283	4432
NCBI	NZ_CP015390.1	pNY9_5	Klebsiella pneumoniae strain NY9	39997
NCBI	NC_017236.1	lp28-8	Borrelia afzelii PKo	21012
NCBI	NC_001570.1	Mauriceville	Neurospora crassa Mauriceville-1c mitochondrial	3634
NCBI	NZ_CP011432.1	pYU39_5.1	Salmonella enterica subsp. enterica strain YU39	5167
NCBI	NC_014303.1	6	Halalkalicoccus jeotgali B3	7052
NCBI	NZ_CP018754.1	cp32	Borreliella garinii strain CIP 103362	2146
NCBI	NZ_CP012472.1	ISMMS_VRE10_p1	Enterococcus faecium strain ISMMS_VRE_10	218195
NCBI	NZ_CP018905.1	pXO2	Bacillus anthracis strain Tyrol 4675	96513
NCBI	NC_017533.1	pEA320	Pantoea ananatis AJ13355	326342
NCBI	NZ_CM007863.1	unnamed	Campylobacter jejuni subsp. jejuni strain CJ506CC21	39720
NCBI	NZ_CP009940.1	pBCX01	Bacillus cereus strain 03BB87	212374
NCBI	NZ_CP012281.1	pL21533-6	Pediococcus damnosus strain TMW 2.1533	14278
NCBI	NZ_CP012838.1	Unknown	Candidatus Riesia pediculischaeffi	5273
NCBI	NZ_CP019007.1	pECAZ159_1	Escherichia coli strain Ecol_AZ159	130082
NCBI	NZ_CP009879.1	pKPN-c22	Klebsiella pneumoniae subsp. pneumoniae strain KPNIH31	181115
NCBI	NZ_CP010194.1	C	Escherichia coli strain M8	33850
NCBI	NZ_CP020054.1	unitig_1	Enterobacter cloacae strain AR_0065	70727
NCBI	NZ_CP017301.1	pYLC2	Rhodococcus sp. YL-1	65468
NCBI	NC_022049.1	pAMI4	Paracoccus aminophilus JCM 7686	444386
NCBI	NC_023283.1	pFRL3	Streptomyces sp. FR1	443100
NCBI	NC_016746.1	pOCEGK01	Oceanimonas sp. GK1	8584
NCBI	NZ_CP023045.1	pL.24464.X.191	Mannheimia haemolytica strain 191	3344
NCBI	NC_005952.1	pRH45II	Lactobacillus brevis	23717
NCBI	NZ_CP015962.1	cp9	Borrelia mayonii strain MN14-1539	8427
NCBI	NZ_LT703507.1	3	Mycobacterium chimaera strain Mycobacterium chimaera MC045 genome assembly,	98657
NCBI	NZ_CP017750.1	unnamed1	Cupriavidus sp. USMAA2-4	552662
NCBI	NZ_CP021784.1	pA85-1a	Acinetobacter baumannii strain A85	2378
NCBI	NZ_CP016702.1	p275D	Lactococcus lactis subsp. lactis strain 275	54820
NCBI	NZ_CP009804.1	pSSFR2	Streptomyces sp. FR-008	24620
NCBI	NZ_CP017933.1	pCAV1015-12	Klebsiella oxytoca strain CAV1015	11806
NCBI	NZ_CP021796.1	accessoryA	Sinorhizobium meliloti strain USDA1157	284213
NCBI	NC_009673.1	pBC9801	Bacillus cytotoxicus NVH 391-98	7238
NCBI	NC_020986.1	pSotonD1	Chlamydia trachomatis D/SotonD1	7602
NCBI	NZ_CP007649.1	pLMP1046	Lactobacillus salivarius strain JCM 1046	103340
NCBI	NZ_CP015740.1	pShin-04	Shinella sp. HZN7	225736
NCBI	NZ_CP022557.1	unnamed1	Bacillus velezensis strain NJAU-Z9	17491
NCBI	NC_004932.1	pPL7065	Bacillus pumilus	7717
NCBI	NZ_CP016701.1	p275C	Lactococcus lactis subsp. lactis strain 275	55708
NCBI	NZ_CP019987.1	unnamed	Citrobacter werkmanii strain BF-6	215587
NCBI	NC_009517.1	pRWF102	Psychrobacter sp. PRwf-1	2149
NCBI	NC_001738.1	pSCL	Streptomyces clavuligerus ATCC 27064	11865
NCBI	NC_015708.1	pTML1	Pseudoalteromonas sp. SANK 73390	98996
NCBI	NZ_CP012564.1	pUCLAOXA232-3	Klebsiella pneumoniae strain UCLAOXA232KP	90070
NCBI	NZ_AP014705.1	pMaq22A_1p	Methylobacterium aquaticum	1594447
EBI	CP001105.1	unnamed	[Eubacterium] eligens ATCC 27750	61463
NCBI	NC_012780.1	unnamed	[Eubacterium] eligens ATCC 27750	635699
NCBI	NZ_CM003332.1	p2CbBKT12695	Clostridium botulinum C/D str. BKT12695	53245
NCBI	NZ_CP021754.1	unitig_3	Klebsiella pneumoniae strain AR_0113	75820
NCBI	NZ_CP013596.1	pRspN741a	Rhizobium sp. N741	81518
NCBI	NZ_CP015013.1	unnamed_2	Rickettsia amblyommatis isolate An13	32431
NCBI	NC_010894.1	pGY1	Salmonella enterica subsp. enterica serovar Paratyphi A	3645
NCBI	NZ_LT904853.1	2	Salmonella enterica subsp. enterica serovar Typhi strain TY585 genome assembly,	108230
NCBI	NC_015383.1	bgla_4p	Burkholderia gladioli BSR3	409353
NCBI	NZ_CP013591.1	pRspN871a	Rhizobium sp. N871	319658
NCBI	NC_019330.1	pJ340-69	Arthrobacter sp. J3-40	61918
NCBI	NZ_CP018819.1	unitig_3	Klebsiella pneumoniae strain AR_0049	86379
NCBI	NC_019762.1	pMIC7113.07	Microcoleus sp. PCC 7113	26355
NCBI	NZ_CP022425.1	pVF2	Vitreoscilla filiformis strain ATCC 15551	40589
NCBI	NZ_CP018316.1	pKp_Goe_579-4	Klebsiella pneumoniae strain Kp_Goe_822579	61885
NCBI	NC_021886.1	Unknown	Candidatus Profftella armatura	5537
NCBI	NC_015967.1	pRHOM17202	Rhodothermus marinus SG0.5JP17-172	3183
NCBI	NZ_CP012348.1	pCFSAN000725_01	Salmonella enterica subsp. enterica serovar Pullorum str. ATCC 9120	87889
NCBI	NZ_CP011645.1	pKPC_CAV1596-78	Klebsiella pneumoniae strain CAV1596	78914
NCBI	NC_008490.1	pMG828-5	Escherichia coli	9115
NCBI	NZ_CP009921.1	pBMV_2	Bacillus megaterium NBRC 15308 = ATCC 14581	305569
NCBI	NZ_CP021212.1	pB171_90	Escherichia coli B171	91519
NCBI	NZ_KX062091.1	pKP148,PINH-4900	Klebsiella pneumoniae strain KP148	53288
NCBI	NC_006978.1	pMD101	S.pyogenes	19479
NCBI	NC_005916.1	pMUM001	Mycobacterium ulcerans	176644
NCBI	NZ_CP018700.1	pKp_Goe_832-3	Klebsiella pneumoniae strain Kp_Goe_149832	64498
NCBI	NZ_CP013799.1	p3PS9	Piscirickettsia salmonis strain AY6532B	33998
NCBI	NZ_CP006802.1	Unknown	Klebsiella pneumoniae subsp. pneumoniae PittNDM01	6230
NCBI	NZ_CP015154.1	pBTBC4	Bacillus thuringiensis strain Bc601	83596
NCBI	NZ_CP013266.1	pDE2	Sphingobium baderi strain DE-13	86392
NCBI	NZ_CP007611.1	pBMB8513	Bacillus thuringiensis serovar kurstaki str. YBT-1520	8636
NCBI	NC_002580.1	p545	Propionibacterium freudenreichii	3607
NCBI	NZ_CP018460.1	pKp_Goe_795-1	Klebsiella pneumoniae strain Kp_Goe_39795	235499
NCBI	NC_012855.1	pRp12D01	Ralstonia pickettii 12D	395349
NCBI	NZ_CP006796.1	pMT	Yersinia pestis 1045	103160
NCBI	NZ_CP014284.1	pBT1850294	Bacillus thuringiensis strain Bt185	297902
NCBI	NC_021993.1	Apa386Bp5	Acetobacter pasteurianus 386B	10057
NCBI	NZ_CP017102.1	pRgalIE4872a	Rhizobium gallicum strain IE4872	127057
NCBI	NC_016634.1	pTCCB09	Thermus sp. CCB_US3_UF1	19999
NCBI	NZ_CP021340.1	p95NR1A	Escherichia coli strain 95NR1	88160
NCBI	NZ_CM003355.1	pMEA04	Sphingomonas sp. MEA3-1	87883
NCBI	NZ_CM007857.1	unnamed	Campylobacter jejuni subsp. jejuni strain CJ069CC21	28936
NCBI	NZ_CP007679.1	pHUV05-03	Staphylococcus aureus strain HUV05	33567
NCBI	NC_017627.1	pAA	Escherichia coli 042	114967
NCBI	NZ_CP023186.1	pK518_KPC	Klebsiella michiganensis strain K518	128660
NCBI	NC_008741.1	pDVUL01	Desulfovibrio vulgaris DP4	201341
NCBI	NC_009339.1	pMFLV01	Mycobacterium gilvum PYR-GCK	325844
NCBI	NC_025169.1	pM131-10	Acinetobacter sp. M131	1987
NCBI	NZ_CP006263.1	pO145-13516	Escherichia coli O145:H28 str. RM13516	99468
NCBI	NZ_CP012922.1	pSA02DT10168701_37	Salmonella enterica subsp. enterica serovar Heidelberg strain SA02DT10168701	38237
NCBI	NZ_CP014511.1	4	Burkholderia sp. PAMC 28687 strain PAMC28687	21274
NCBI	NC_024973.1	pCCH208	Streptococcus agalactiae	5045
NCBI	NC_010715.1	pNTHE01	Natranaerobius thermophilus JW/NM-WN-LF	17454
NCBI	NC_010467.1	pLCK3	Leuconostoc citreum KM20	18229
NCBI	NC_012987.1	p1METDI	Methylobacterium extorquens DM4 str. DM4	143527
NCBI	NC_011092.1	pCVM19633_110	Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633	111803
NCBI	NC_009930.1	pREB5	Acaryochloris marina MBIC11017	179694
NCBI	NC_010180.1	pBWB401	Bacillus weihenstephanensis KBAB4	423013
NCBI	NZ_CP007794.1	AbAZ39_p1	Azospirillum brasilense strain Az39	1928876
NCBI	NZ_CP022688.1	p0157	Escherichia coli strain CDC#03-98	93348
NCBI	NZ_CP016038.1	pC06114_4	Escherichia coli isolate Co6114	6230
NCBI	NZ_CP018068.1	pE1_13	Enterococcus faecium strain E1	13301
NCBI	NC_023145.1	Unknown	Rhodococcus pyridinivorans SB3094	2066
NCBI	NC_011721.1	pP880101	Cyanothece sp. PCC 8801	51623
NCBI	NC_023152.1	pRQ7	Thermotoga sp. RQ7	860
NCBI	NC_021662.1	PsyG_4	Psychrobacter sp. G	4584
NCBI	NC_019963.1	pNATPE02	Natrinema pellirubrum DSM 15624	279763
NCBI	NC_005076.1	Unknown	Staphylococcus sciuri pSCFS1	17354
NCBI	NZ_CM003317.1	pMRSN58-8.7	Acinetobacter baumannii MRSN 58	8857
NCBI	NC_019219.1	pLJ42	Lactobacillus plantarum cryptic	5609
NCBI	NZ_CP010055.1	Unknown	Hymenobacter sp. DG25B	187697
NCBI	NC_019225.1	cp26	Borrelia burgdorferi	26890
NCBI	NZ_LT598667.1	5	Enterococcus faecium isolate Ef_aus00233 genome assembly,	22397
NCBI	NZ_CP009294.1	pLA1	Novosphingobium pentaromativorans US6-1	191171
NCBI	NC_019224.1	pHW104	Rahnella sp. WMR104	5212
NCBI	NZ_CP007568.1	pWSY	Aeromonas media WS	11439
NCBI	NC_020242.1	pHT8_2	Bacillus thuringiensis serovar kurstaki str. HD73	8360
NCBI	NZ_CP009525.1	Unknown	Methanosarcina barkeri str. Wiesmoor	32835
NCBI	NZ_CP020426.1	unnamed2	Clostridioides difficile strain FDAARGOS_267	133173
NCBI	NZ_CP009852.1	pENT-e56	Enterobacter cloacae strain ECNIH4	78353
NCBI	NC_005909.1	pRA2	Pseudomonas alcaligenes	33212
NCBI	NZ_CP021943.1	tig00000219	Klebsiella pneumoniae strain AR_0145	38934
NCBI	NZ_CP012017.1	pGv88	Staphylococcus aureus subsp. aureus strain Gv88	2938
NCBI	NC_017391.1	pEP2.6	Erwinia pyrifoliae DSM 12163 complete	2649
NCBI	NC_008042.1	unnamed	Ruegeria sp. TM1040	132846
NCBI	NC_010605.1	pACICU1	Acinetobacter baumannii ACICU	28684
NCBI	NC_013538.1	pC1	Nocardia sp. C-14-1	5926
NCBI	NZ_CM003616.1	pHUGS1	Staphylococcus aureus subsp. aureus strain MRSA_S1	20806
NCBI	NC_017225.1	cp32-12	Borrelia afzelii PKo	30496
NCBI	NZ_ALII01000020.1	pIS123-67	Acinetobacter baumannii IS-123	67984
NCBI	NC_002517.1	p21	Staphylococcus aureus	21016
NCBI	NZ_CM007813.1	unnamed2	Clostridium sporogenes strain PA 3679 isolate Camp	40630
NCBI	NZ_CP015327.1	pBEH5	Bacillus endophyticus strain Hbe603	57562
NCBI	NC_016040.1	pY0017	Sulfobacillus thermotolerans strain Y0017	60059
NCBI	NZ_CP013725.1	pLmN1546	Listeria monocytogenes strain Lm N1546	87855
NCBI	NZ_CM003357.1	pMEA06	Sphingomonas sp. MEA3-1	13346
NCBI	NC_017055.1	pMCC_1	Rickettsia rhipicephali str. 3-7-female6-CWPP	15316
NCBI	NZ_CP008890.1	unnamed	Dermacoccus nishinomiyaensis strain M25	85831
NCBI	NC_011872.1	156a_lp28-6	Borrelia burgdorferi 156a	27088
NCBI	NC_004671.1	pTEF2	Enterococcus faecalis V583	58485
NCBI	NC_015920.1	lp56	Borreliella bissettii DN127	29870
NCBI	NZ_CP021360.1	pACNA2.1	Acidovorax sp. NA2	72068
NCBI	NC_004955.1	pBL1	Lactococcus lactis lactis IPLA 972	11056
NCBI	NC_019205.1	pB1000	Pasteurella multocida	4680
NCBI	NZ_CP011653.1	pCAV1741-16	Citrobacter freundii strain CAV1741	16491
NCBI	NC_001751.1	B1	Oryza sativa (japonica cultivar-group) mitochondrial	2167
NCBI	NZ_CP009424.1	pSUR1A	Staphylococcus aureus subsp. aureus	3171
NCBI	NZ_CP019741.1	pl12108-7	Lactobacillus brevis strain TMW 1.2108	8301
NCBI	NC_017624.1	pB182_37	Salmonella enterica subsp. enterica serovar Heidelberg str. B182	38119
NCBI	NC_019320.1	pDB1	Variovorax sp. DB1	66203
NCBI	NC_007900.1	pCfe1	Chlamydia felis Fe/C-56 Fe/C-56	7661
NCBI	NC_012166.1	VS116_lp25	Borreliella valaisiana VS116	33265
NCBI	NC_011316.1	pVSAL43	Aliivibrio salmonicida LFI1238	4390
NCBI	NC_010997.1	pC	Rhizobium etli CIAT 652	1107118
NCBI	NZ_CP007001.1	pCfviMP2	Campylobacter fetus subsp. venerealis cfvi03/293	35832
NCBI	NZ_CP009858.1	pKPC-47e	Enterobacter cloacae strain ECNIH5	51054
NCBI	NC_017124.1	pAPA07-060	Acetobacter pasteurianus IFO 3283-07	1842
NCBI	NZ_CP021877.1	unnamed4	Enterococcus sp. MN05	12655
NCBI	NC_004956.1	pADP-1	Pseudomonas sp. ADP atrazine catabolic	110401
NCBI	NC_012112.1	64b_cp32-11	Borrelia burgdorferi 64b	30694
NCBI	NZ_CP015096.1	pPABY8	Pelagibaca abyssi strain JLT2014	30857
NCBI	NZ_CP014628.1	L11988-4	Lactobacillus backii strain TMW 1.1988	21216
NCBI	NZ_CP010343.1	pXO2	Bacillus anthracis strain A0157	96165
NCBI	NZ_CP023351.1	unnamed2	Escherichia coli strain ETEC-2264	78451
NCBI	NZ_CP018432.1	pMNCRE78_3	Klebsiella pneumoniae strain MNCRE78	52804
NCBI	NC_015728.1	pRLO149_83	Roseobacter litoralis Och 149	84318
NCBI	NZ_CM003130.1	pHPY1786	Helicobacter pylori strain 1786/05	10104
NCBI	NZ_CP011615.1	pKPC_CAV1335	Klebsiella oxytoca strain CAV1335	114722
NCBI	NZ_CP006635.1	p3PCN033	Escherichia coli PCN033	163820
NCBI	NZ_CP011943.1	virulence	Salmonella enterica subsp. enterica serovar Enteritidis strain OLF-00D989 87-1	60222
NCBI	NZ_CP020902.1	pK66-45-1	Klebsiella pneumoniae strain K66-45	343349
NCBI	NC_013545.1	pSmeSM11a	Sinorhizobium meliloti	146231
NCBI	NC_021080.1	pFiD188	Rhodococcus fascians D188	201760
NCBI	NZ_CP015038.1	pBcp895-1	Burkholderia cenocepacia strain 895	202668
NCBI	NC_012243.1	118a_lp17	Borrelia burgdorferi 118a	18471
NCBI	NZ_CP016037.1	pC06114_3	Escherichia coli isolate Co6114	33533
NCBI	NC_011887.1	pMNOD02	Methylobacterium nodulans ORS 2060	464615
NCBI	NZ_CP013780.1	p2PS5	Piscirickettsia salmonis strain PM51819A	124505
NCBI	NZ_CP007729.1	pKPN-498	Klebsiella pneumoniae subsp. pneumoniae KPNIH10	247309
NCBI	NC_020825.1	pKB290-9	Lactobacillus brevis KB290	5951
NCBI	NZ_CP013834.1	pJJ2434_2	Escherichia coli strain JJ2434	63073
NCBI	NC_019669.1	pWCZ	Lactobacillus paracasei	3123
NCBI	NZ_CP013163.1	unnamed12	Lactobacillus plantarum strain MF1298	4498
NCBI	NZ_CP009606.1	pBFR_2	Bacillus cereus strain S2-8	316943
NCBI	NZ_AVCD01000003.1	pO157	Escherichia coli O157:H7 str. F8092B	99464
